material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Recycled Cardboard,8,8,6,67,2.73,0.85
Paper Foam,7,15,6,88,2.27,0.8
Honeycomb Paperboard,6,3,6,79,3.33,0.79
Recycled Paper Wrap,9,3,9,76,4.67,0.86
Recycled PET,6,4,8,78,3.4,0.63
Recycled Paper Wrap,7,17,5,76,4.55,0.93
PLA Bioplastic,7,16,5,98,2.98,0.8
Seaweed Packaging,6,13,8,60,3.02,0.67
Corrugated Board,5,17,9,88,4.69,1.06
Recycled Cardboard,5,8,8,73,3.28,0.98
Cornstarch Packaging,5,11,9,76,4.37,0.71
Corrugated Board,7,7,7,72,2.71,1.08
Seaweed Packaging,8,4,7,88,4.85,1.14
Seaweed Packaging,7,8,9,93,3.72,0.83
Seaweed Packaging,8,11,8,86,4.28,0.57
Corrugated Board,6,8,7,92,2.27,1.13
Bagasse Fiber,9,16,8,88,3.48,0.55
Paper Foam,8,15,7,96,4.7,0.44
Recycled Paper Wrap,5,13,8,98,4.63,0.66
Mycelium Packaging,7,14,8,78,2.14,0.98
Paper Foam,6,15,6,83,2.91,1.14
Bamboo Fiber Packaging,5,16,9,73,3.33,0.91
Recycled PET,6,14,5,96,2.52,1.16
Biodegradable Plastic,9,6,9,64,4.19,0.47
Bagasse Fiber,7,12,8,83,2.55,0.45
Cornstarch Packaging,7,19,8,93,3.04,0.88
Paper Foam,9,6,9,90,3.99,1.17
Mycelium Packaging,7,14,8,89,3.45,0.8
Molded Pulp,8,15,7,68,4.22,0.44
Seaweed Packaging,6,6,8,86,4.88,0.58
Honeycomb Paperboard,5,12,9,87,2.35,0.6
Bamboo Fiber Packaging,9,5,9,85,4.13,0.67
Biodegradable Plastic,8,17,9,77,2.69,0.43
Recycled Cardboard,5,4,6,95,3.24,1.12
Cornstarch Packaging,5,19,6,67,2.1,0.81
Recycled PET,9,8,6,77,2.41,0.94
Biodegradable Plastic,8,10,6,79,2.96,0.45
Seaweed Packaging,5,5,6,91,3.03,0.44
Honeycomb Paperboard,5,3,6,88,4.7,0.87
Bagasse Fiber,8,18,6,77,4.23,1.11
Honeycomb Paperboard,7,9,9,66,4.92,0.82
Corrugated Board,5,5,5,60,3.8,1.1
Honeycomb Paperboard,6,6,6,87,2.73,1.05
Corrugated Board,8,11,9,92,2.98,0.46
Bamboo Fiber Packaging,5,7,5,63,2.96,0.56
Bagasse Fiber,9,17,6,79,2.98,0.93
Recycled PET,6,10,5,95,4.02,0.75
Kraft Paper,5,8,5,90,3.59,0.63
Seaweed Packaging,6,17,7,97,3.16,0.73
Corrugated Board,6,9,8,87,2.45,0.76
Recycled Cardboard,7,12,7,62,2.07,1.13
Honeycomb Paperboard,6,8,5,65,2.66,0.48
Honeycomb Paperboard,7,16,9,82,2.32,0.62
Recycled Cardboard,8,19,6,66,4.36,0.83
Recycled PET,7,11,8,95,2.34,0.96
Molded Pulp,9,7,6,60,4.17,0.9
Bamboo Fiber Packaging,5,9,9,65,3.16,1.15
Recycled Paper Wrap,8,9,8,83,2.22,1.04
Kraft Paper,8,4,7,96,4.44,0.85
Cornstarch Packaging,9,18,5,95,3.74,0.57
Mycelium Packaging,7,15,9,83,2.71,0.76
Corrugated Board,5,10,5,97,4.68,0.95
Recycled Cardboard,7,8,5,88,2.14,1.07
Mycelium Packaging,6,8,6,96,2.61,1.17
Bagasse Fiber,7,11,9,91,4.26,0.88
Recycled PET,8,6,5,84,4.13,0.82
Corrugated Board,5,13,7,69,2.87,0.41
Recycled Paper Wrap,7,7,8,94,2.19,0.46
Mycelium Packaging,5,19,9,84,4.57,0.52
Bagasse Fiber,5,9,6,86,2.94,0.44
Biodegradable Plastic,6,17,9,91,2.59,0.72
Seaweed Packaging,6,17,6,71,3.55,0.67
Honeycomb Paperboard,8,16,8,63,4.73,0.91
Biodegradable Plastic,9,15,7,85,2.13,0.83
Corrugated Board,5,13,5,62,4.3,0.88
Recycled Paper Wrap,9,15,9,76,3.72,0.78
Kraft Paper,8,11,6,68,3.28,0.62
Mycelium Packaging,5,12,8,88,4.23,1.16
Bamboo Fiber Packaging,5,6,5,60,4.9,0.47
Seaweed Packaging,9,19,8,77,2.69,1.15
Corrugated Board,7,16,7,79,2.43,0.65
Recycled PET,6,13,5,93,4.74,0.81
Recycled Cardboard,7,18,5,87,4.01,0.49
Bamboo Fiber Packaging,9,3,5,94,3.31,0.46
Bamboo Fiber Packaging,6,9,6,75,3.72,0.74
Bamboo Fiber Packaging,7,12,5,80,4.24,0.99
Paper Foam,6,11,8,72,4.32,0.62
Corrugated Board,5,5,6,94,4.76,0.85
Seaweed Packaging,7,16,5,91,3.28,0.62
Honeycomb Paperboard,6,17,8,97,2.88,0.71
Honeycomb Paperboard,6,4,8,65,3.92,1.13
Corrugated Board,6,16,9,97,3.25,1.08
Bagasse Fiber,7,18,8,97,3.78,0.81
Paper Foam,8,9,7,72,3.26,0.59
Recycled Cardboard,7,6,5,98,2.46,0.55
Bamboo Fiber Packaging,9,7,5,72,3.41,1.16
Bamboo Fiber Packaging,7,8,5,71,4.07,0.56
Corrugated Board,6,9,8,92,4.4,1.05
Bagasse Fiber,5,17,8,87,3.48,0.7
Honeycomb Paperboard,7,3,5,62,2.5,1.19
Honeycomb Paperboard,7,6,6,77,3.24,0.69
Recycled Paper Wrap,6,3,6,85,4.36,0.68
Corrugated Board,5,13,7,99,3.24,0.91
Paper Foam,5,16,9,61,4.09,1.17
Molded Pulp,9,13,7,63,3.52,1.18
Paper Foam,7,12,5,87,2.72,0.97
Recycled PET,5,19,5,87,4.39,1
Honeycomb Paperboard,5,6,5,84,2.25,0.85
Honeycomb Paperboard,8,17,9,85,3.57,1
Biodegradable Plastic,8,18,8,61,2.63,1.09
Honeycomb Paperboard,5,15,9,93,2.2,0.79
Recycled Cardboard,9,11,7,89,3.51,0.9
Cornstarch Packaging,5,13,8,80,3.5,0.83
Corrugated Board,6,13,8,96,4.12,0.85
Mycelium Packaging,7,8,7,82,4.23,1.11
Paper Foam,9,3,8,92,4.18,0.68
Cornstarch Packaging,6,8,6,61,3.23,0.57
Bagasse Fiber,9,15,7,86,3.9,0.77
Molded Pulp,6,7,7,81,3.73,0.57
Recycled Cardboard,7,17,6,93,3.26,0.8
Seaweed Packaging,7,16,9,75,3.79,1.12
PLA Bioplastic,8,17,9,79,4.84,0.89
Paper Foam,6,7,9,85,2.58,1.08
Cornstarch Packaging,8,6,8,75,4.72,0.53
Seaweed Packaging,6,4,6,65,2.16,1.12
Molded Pulp,8,9,7,82,2.93,0.88
Biodegradable Plastic,7,12,7,96,2.86,0.43
Seaweed Packaging,9,18,7,67,3.88,0.91
Recycled Cardboard,8,12,8,65,2.39,1.16
Recycled Cardboard,6,19,8,96,4.65,0.46
Mycelium Packaging,6,15,9,81,4.49,0.87
Biodegradable Plastic,7,3,8,65,3.96,1.13
PLA Bioplastic,6,3,9,91,3.38,0.41
Corrugated Board,5,17,9,76,4.8,0.9
Seaweed Packaging,9,3,7,97,4.49,0.78
Biodegradable Plastic,8,8,8,76,3.5,0.68
Recycled Cardboard,9,15,9,96,4.11,0.9
Recycled Cardboard,7,3,6,82,3.7,0.44
Cornstarch Packaging,8,7,6,72,3.76,1
Honeycomb Paperboard,8,11,8,91,2.99,0.4
PLA Bioplastic,5,19,7,81,3.39,0.65
Seaweed Packaging,7,18,7,66,2.23,0.8
Mycelium Packaging,6,10,9,81,3.07,0.7
Mycelium Packaging,5,19,8,80,4.09,0.65
Seaweed Packaging,5,17,6,65,4.86,1.06
Recycled PET,9,3,9,73,4.89,1.15
Bamboo Fiber Packaging,9,14,9,75,3.67,1.1
Molded Pulp,9,7,5,62,3.82,0.82
Mycelium Packaging,5,8,8,68,2.56,1.11
Biodegradable Plastic,6,3,9,80,4.09,1.14
Molded Pulp,8,3,6,89,2.21,0.73
Biodegradable Plastic,9,12,5,89,2.85,0.63
Bagasse Fiber,6,12,6,91,4.01,0.48
Recycled Cardboard,7,5,7,82,2.93,0.78
Honeycomb Paperboard,9,19,5,62,2.15,1.16
Cornstarch Packaging,8,13,5,60,4.5,0.85
Mycelium Packaging,7,4,9,62,2.93,0.93
Honeycomb Paperboard,7,11,7,96,2.19,0.49
Honeycomb Paperboard,8,19,9,66,2.22,0.51
Honeycomb Paperboard,9,16,8,62,2.76,0.77
Bamboo Fiber Packaging,5,6,6,95,2.53,1.16
Molded Pulp,8,19,6,62,4.32,0.69
Biodegradable Plastic,8,19,9,63,2.97,1.1
Kraft Paper,8,14,6,90,4.41,0.5
Bagasse Fiber,7,5,6,61,2.52,0.89
Paper Foam,6,13,8,73,3.48,0.88
Honeycomb Paperboard,5,6,7,96,4.06,1.09
Corrugated Board,9,19,5,90,3.96,0.4
Molded Pulp,9,7,9,61,3.8,0.55
Mycelium Packaging,6,16,9,90,4.77,0.58
PLA Bioplastic,8,12,8,81,2.69,1.16
Mycelium Packaging,5,17,8,69,3.48,0.52
Cornstarch Packaging,9,3,5,89,4.65,0.43
Paper Foam,9,18,7,92,2.23,0.83
Kraft Paper,8,13,9,78,2.17,0.82
Corrugated Board,6,8,8,84,2.7,1.08
Mycelium Packaging,5,18,9,60,3.9,1.16
Kraft Paper,6,4,6,91,2.78,0.83
Paper Foam,6,3,9,84,2.57,1.14
Honeycomb Paperboard,5,11,7,76,3.38,0.98
Corrugated Board,5,14,7,73,3.84,0.61
Kraft Paper,9,19,9,72,2.75,1.14
Cornstarch Packaging,9,17,6,97,2.9,0.93
Biodegradable Plastic,5,12,7,98,3.84,0.73
Recycled Cardboard,7,14,8,61,4.84,0.94
Biodegradable Plastic,9,16,9,91,4.02,0.72
Paper Foam,7,11,6,91,4.35,0.49
Molded Pulp,5,15,8,99,3.1,0.98
Recycled Cardboard,9,5,9,65,2.82,1.06
Bagasse Fiber,6,16,6,84,3.36,0.98
Cornstarch Packaging,5,12,8,62,4.42,0.58
Bagasse Fiber,8,18,7,77,3.37,1.17
Bamboo Fiber Packaging,7,9,9,97,4.54,0.42
Corrugated Board,5,6,9,62,4.97,0.67
Seaweed Packaging,5,13,7,64,2.22,0.61
Recycled Cardboard,9,18,5,83,2.14,0.44
Bagasse Fiber,9,6,8,93,2.45,0.72
Mycelium Packaging,9,19,7,98,3.15,0.9
Bagasse Fiber,8,15,9,83,2.39,1.11
Kraft Paper,9,13,8,95,4.61,1.19
Biodegradable Plastic,5,5,8,87,2.07,1.05
Kraft Paper,9,11,5,93,2.95,0.77
Bamboo Fiber Packaging,6,8,9,75,2.55,0.98
Recycled Cardboard,9,13,6,95,4.79,1.07
Recycled Cardboard,8,18,5,66,4.01,0.77
Bamboo Fiber Packaging,6,7,5,77,4.74,1.03
Paper Foam,5,16,6,65,4.92,0.79
Kraft Paper,5,19,6,87,3.49,0.71
Recycled Paper Wrap,7,5,5,98,2.7,0.82
Mycelium Packaging,6,6,8,93,2.58,0.94
PLA Bioplastic,7,18,7,88,2.67,0.98
Biodegradable Plastic,6,18,7,63,4.13,0.69
Recycled Cardboard,6,6,5,73,2.12,0.86
Paper Foam,8,19,8,64,2.15,1.13
Seaweed Packaging,7,15,6,84,3.82,1.18
Mycelium Packaging,8,3,5,98,3.93,0.58
Kraft Paper,6,14,9,67,4,0.55
Biodegradable Plastic,5,6,8,74,3.12,0.94
Seaweed Packaging,6,13,9,78,4.42,0.73
Kraft Paper,8,7,9,70,3.6,0.42
Bagasse Fiber,7,4,5,79,2.32,0.68
Seaweed Packaging,7,19,8,95,4.39,1.05
Bamboo Fiber Packaging,8,10,9,77,4.86,1.04
Recycled PET,7,8,8,73,2.18,0.8
Paper Foam,9,11,7,97,3.17,0.78
Biodegradable Plastic,5,15,9,84,3.46,0.86
Honeycomb Paperboard,5,13,9,75,2.44,0.58
Recycled PET,5,18,8,77,4.6,0.82
Corrugated Board,7,18,7,60,2.85,0.41
Corrugated Board,7,4,9,99,4.35,0.78
Biodegradable Plastic,6,12,5,60,4.01,0.67
Seaweed Packaging,6,14,8,60,3.79,0.94
Kraft Paper,5,10,8,80,2.58,0.91
Paper Foam,9,13,9,84,2.66,0.7
PLA Bioplastic,6,12,7,86,2.14,0.41
Corrugated Board,6,15,9,69,2.72,0.6
Paper Foam,7,19,6,71,3.04,0.91
Corrugated Board,9,9,9,87,4.5,0.46
Bagasse Fiber,5,5,6,91,3.1,0.49
Kraft Paper,6,15,5,92,4.26,0.92
Bagasse Fiber,9,9,8,67,3.32,1
Mycelium Packaging,9,11,8,85,4.35,0.66
Corrugated Board,5,15,7,61,4.93,0.79
Honeycomb Paperboard,9,10,9,94,2.72,1.16
Honeycomb Paperboard,9,4,5,93,4.59,1.16
Bagasse Fiber,9,13,6,65,3.87,0.65
Bamboo Fiber Packaging,6,3,7,90,4.45,1.05
Recycled PET,5,16,5,82,3.95,0.88
Honeycomb Paperboard,9,18,5,71,3.27,1.18
Corrugated Board,9,13,6,87,2.68,0.78
Biodegradable Plastic,6,3,6,74,2.21,1.02
Bagasse Fiber,5,9,8,78,3.61,1.01
Mycelium Packaging,7,18,9,71,4.97,0.8
PLA Bioplastic,6,16,7,61,4.21,1.04
PLA Bioplastic,5,17,9,70,2.98,0.61
Molded Pulp,9,16,7,96,4.48,0.5
Recycled PET,5,13,5,97,4.31,0.74
Seaweed Packaging,5,18,6,84,2.84,1.15
Kraft Paper,5,19,6,80,2.04,0.8
Honeycomb Paperboard,7,8,5,95,2.35,0.91
Honeycomb Paperboard,5,13,5,68,4.63,0.9
Seaweed Packaging,7,19,7,71,4.51,0.51
Recycled Cardboard,9,11,5,69,2.89,0.71
Mycelium Packaging,7,19,7,64,2.86,0.97
Recycled Paper Wrap,9,14,9,92,4.38,1.18
Bagasse Fiber,9,7,6,64,4.81,0.53
Bamboo Fiber Packaging,7,13,6,75,4.34,0.73
Mycelium Packaging,6,6,6,96,3.82,0.48
Cornstarch Packaging,8,6,9,96,2.73,0.59
Honeycomb Paperboard,5,5,9,88,3.58,0.7
Kraft Paper,8,19,8,77,2.7,0.83
Molded Pulp,5,9,7,88,4.42,0.58
PLA Bioplastic,5,6,7,65,3.16,0.58
Honeycomb Paperboard,9,15,8,77,4.5,1.02
Molded Pulp,5,14,6,91,3.14,1.17
Corrugated Board,5,3,7,90,4.47,0.66
Mycelium Packaging,7,13,7,70,3,0.95
Corrugated Board,8,5,6,85,3.32,0.61
Recycled Paper Wrap,7,19,5,87,3.85,1.14
Biodegradable Plastic,5,14,5,86,2.21,0.94
Cornstarch Packaging,9,12,8,78,4.84,1.04
Mycelium Packaging,7,10,9,86,3.72,0.44
Recycled Cardboard,7,17,7,79,3.52,0.88
Recycled Paper Wrap,6,7,7,62,4.52,0.82
Paper Foam,5,6,8,75,4.6,0.63
Recycled Cardboard,9,6,8,98,3.57,0.61
Recycled PET,7,17,7,88,4.78,0.86
Bagasse Fiber,7,19,6,74,2.19,0.97
Kraft Paper,9,14,6,89,2.34,0.43
Mycelium Packaging,5,5,9,99,3.79,0.85
Paper Foam,6,12,7,60,3.06,0.54
Paper Foam,7,17,7,88,3.39,0.51
Recycled Paper Wrap,6,12,7,89,2.98,0.9
Seaweed Packaging,8,3,7,99,3.21,0.65
Recycled PET,5,5,8,91,4.47,0.75
Biodegradable Plastic,8,14,5,69,3.78,0.69
Mycelium Packaging,8,3,7,86,4.99,0.92
Seaweed Packaging,8,5,5,67,4.36,0.78
Recycled Paper Wrap,5,5,6,95,2.82,1.17
Bagasse Fiber,5,7,9,94,2.79,0.68
PLA Bioplastic,9,3,6,95,3.01,0.99
Honeycomb Paperboard,6,6,7,95,4.53,0.61
Honeycomb Paperboard,6,6,6,84,2.08,0.81
Biodegradable Plastic,9,19,8,79,2.69,0.84
Bagasse Fiber,9,16,5,76,4.71,0.66
Bamboo Fiber Packaging,8,3,7,82,3.92,0.78
Biodegradable Plastic,9,18,8,84,2.68,0.62
Mycelium Packaging,7,5,5,90,2.66,0.4
Mycelium Packaging,6,11,8,65,4.59,0.57
Molded Pulp,9,6,6,94,4.68,0.96
Seaweed Packaging,7,7,7,63,2.77,1.02
Bamboo Fiber Packaging,7,13,6,99,3.26,0.62
Honeycomb Paperboard,7,11,9,79,4.5,0.73
Paper Foam,7,5,7,60,4.31,0.43
Seaweed Packaging,8,8,6,85,4.44,0.59
Cornstarch Packaging,7,13,7,93,3.56,1.02
Mycelium Packaging,8,11,5,69,4.73,0.88
Recycled PET,8,17,7,82,2.98,0.56
Kraft Paper,7,5,7,83,2.47,0.61
Bagasse Fiber,6,3,5,72,4.13,1.05
Recycled Cardboard,7,16,6,88,3.62,0.57
Biodegradable Plastic,7,19,7,86,4.56,0.67
Mycelium Packaging,7,16,8,90,2.24,0.93
Seaweed Packaging,6,19,7,69,4.53,0.85
Bamboo Fiber Packaging,5,16,6,90,2.88,0.77
Kraft Paper,5,14,5,98,3.96,1.12
Recycled PET,8,18,6,69,2.12,0.58
Seaweed Packaging,8,3,9,83,3.83,0.99
Recycled Cardboard,6,15,7,92,4.15,0.53
Kraft Paper,9,8,7,73,3.11,0.89
Cornstarch Packaging,5,19,5,94,2.65,1.1
Recycled Cardboard,8,14,7,93,3.61,0.77
Recycled Paper Wrap,5,8,8,76,4.5,0.98
Corrugated Board,6,9,8,80,2.97,1.06
Recycled Paper Wrap,6,3,6,91,2.76,0.51
Honeycomb Paperboard,9,3,5,62,2.84,0.96
Seaweed Packaging,9,7,9,74,4.85,1.14
Mycelium Packaging,6,8,6,67,3.08,0.86
Mycelium Packaging,8,18,5,91,2.01,0.55
Mycelium Packaging,5,18,5,97,4.35,0.5
Recycled PET,7,16,6,85,4.1,0.61
Corrugated Board,9,3,6,89,2.39,0.48
Recycled Paper Wrap,7,15,7,68,4.95,0.81
Corrugated Board,8,12,9,91,3.82,0.46
PLA Bioplastic,9,12,8,70,3.5,0.58
Seaweed Packaging,7,11,7,81,3.15,0.75
Corrugated Board,8,15,5,93,4.7,0.78
Paper Foam,5,5,9,77,2.73,0.85
Biodegradable Plastic,8,4,9,78,2.86,0.96
Biodegradable Plastic,9,19,6,77,2.37,0.44
Paper Foam,6,15,9,96,4.28,0.46
Kraft Paper,5,15,9,77,3.79,0.45
Molded Pulp,7,3,5,71,3.83,0.74
Recycled PET,9,4,7,63,2.66,0.43
Kraft Paper,6,3,9,86,3.95,1
Recycled Cardboard,8,7,6,64,4.3,0.58
Bamboo Fiber Packaging,6,5,7,65,3.07,1.15
Recycled PET,9,9,6,72,4.4,0.79
Recycled PET,9,15,9,82,3.05,0.76
Recycled Cardboard,6,9,7,84,4.27,1.02
Corrugated Board,8,3,9,63,2.1,0.97
Recycled Paper Wrap,6,7,5,91,3.65,0.89
Recycled Paper Wrap,9,19,7,74,4.91,1.15
Biodegradable Plastic,9,10,6,85,4.94,0.74
Bagasse Fiber,7,17,5,70,2.85,1.05
Kraft Paper,7,6,8,68,3.32,0.7
PLA Bioplastic,5,4,6,70,2.19,1.07
Seaweed Packaging,9,7,9,61,4.62,0.61
Honeycomb Paperboard,7,3,6,86,3.71,0.63
Cornstarch Packaging,6,7,8,85,3.16,0.94
Recycled Paper Wrap,8,8,6,67,2.34,0.57
Seaweed Packaging,6,4,5,80,4.84,0.58
Cornstarch Packaging,8,3,6,80,3.59,0.64
Seaweed Packaging,7,6,7,67,2.85,0.94
Corrugated Board,5,9,8,60,3.05,1.11
Cornstarch Packaging,6,3,6,97,2.81,0.94
Honeycomb Paperboard,6,3,8,72,3.81,1.06
Seaweed Packaging,6,10,5,68,4.79,0.83
Paper Foam,8,18,7,87,4.57,0.46
Honeycomb Paperboard,7,15,9,65,3.38,0.48
Cornstarch Packaging,6,12,6,82,4.48,0.84
Honeycomb Paperboard,6,14,5,95,3.27,0.66
Seaweed Packaging,5,3,8,76,2.76,0.58
Molded Pulp,5,12,8,68,4.95,0.77
Seaweed Packaging,7,11,5,71,2.91,0.93
Seaweed Packaging,7,5,6,81,2.97,0.71
Corrugated Board,9,11,9,71,4.97,1.04
Kraft Paper,5,12,6,65,2.4,0.99
Paper Foam,9,18,7,68,4.28,0.99
PLA Bioplastic,8,16,6,96,4.81,1.19
Recycled Paper Wrap,9,5,7,62,3.54,0.64
Recycled PET,6,4,8,93,2.01,0.92
Recycled Cardboard,9,3,7,67,3.13,1.08
Kraft Paper,7,11,9,69,2.33,0.86
Recycled Cardboard,8,15,5,68,3.25,1.03
Corrugated Board,6,4,7,73,4.37,0.73
Paper Foam,9,9,6,96,3.32,0.87
Mycelium Packaging,8,18,7,86,3.3,0.44
Seaweed Packaging,8,17,8,91,3.67,1.19
Mycelium Packaging,6,13,7,63,3.75,1.04
Mycelium Packaging,9,3,9,61,4.57,1.1
Bamboo Fiber Packaging,8,9,7,92,2.93,0.96
Biodegradable Plastic,8,10,9,80,4.47,0.55
Mycelium Packaging,5,12,6,60,3.7,0.42
Recycled Paper Wrap,8,7,8,70,2.9,1.09
Molded Pulp,5,11,5,60,2.89,0.72
Biodegradable Plastic,9,3,6,70,3.08,0.61
Corrugated Board,9,4,6,66,3.87,0.85
Recycled PET,9,16,5,61,2.69,0.74
Kraft Paper,7,12,7,74,4.76,0.92
Molded Pulp,9,11,7,67,3.72,0.79
Honeycomb Paperboard,8,12,7,85,4.76,0.96
Cornstarch Packaging,6,8,8,99,2.14,1.08
Bamboo Fiber Packaging,5,19,6,94,3.03,0.56
Molded Pulp,7,8,9,80,2.07,0.66
PLA Bioplastic,9,6,5,97,2.82,0.75
Mycelium Packaging,9,5,6,67,4.59,1.17
Corrugated Board,6,6,7,91,2.11,0.69
Bagasse Fiber,6,10,5,67,3.31,0.7
Cornstarch Packaging,7,19,9,69,2.35,0.92
Recycled Cardboard,5,7,6,82,3.25,0.74
Recycled Paper Wrap,9,15,6,63,4.52,1.16
Recycled Cardboard,7,3,8,97,3.87,1.12
Molded Pulp,8,15,6,89,4.21,0.81
Recycled PET,8,6,6,82,3.05,0.92
Recycled Cardboard,7,16,9,64,4.83,0.45
PLA Bioplastic,9,5,9,80,4.13,0.96
Corrugated Board,7,7,5,65,3.27,0.97
Honeycomb Paperboard,9,9,7,76,3.28,0.69
Recycled PET,6,3,9,84,4.76,0.58
Kraft Paper,7,14,5,83,3.73,1.13
Recycled Paper Wrap,9,13,6,81,4.12,0.74
PLA Bioplastic,7,10,5,72,3.25,0.92
PLA Bioplastic,7,8,5,76,2.67,0.43
Recycled Cardboard,9,4,5,73,4.17,0.73
Mycelium Packaging,9,16,5,93,3.82,1.05
Recycled Cardboard,5,3,9,85,3.5,0.71
Molded Pulp,7,12,7,78,3.87,0.88
Kraft Paper,8,18,5,85,2.62,0.57
Biodegradable Plastic,7,6,8,62,4.38,0.73
Recycled PET,7,13,6,61,4.84,1.14
Recycled Cardboard,9,18,6,87,4.67,0.85
Corrugated Board,7,3,6,61,2.96,1.12
Bagasse Fiber,7,18,6,81,3.22,1.12
Recycled Paper Wrap,8,11,6,66,4.43,1.16
Seaweed Packaging,9,11,5,63,3.79,1.12
Recycled Cardboard,7,11,7,97,3.64,0.4
Corrugated Board,6,19,8,98,4.78,1.15
Recycled PET,5,14,9,79,3.61,0.51
Corrugated Board,8,15,8,65,3.54,0.43
Recycled Paper Wrap,7,10,9,68,2.13,0.44
Biodegradable Plastic,6,18,9,90,2.21,0.68
Corrugated Board,7,3,8,85,2.02,0.9
Bagasse Fiber,7,3,5,95,4.74,0.72
Corrugated Board,9,14,6,85,3.23,0.42
Corrugated Board,9,8,5,87,3.41,0.78
Corrugated Board,9,11,6,64,4.54,0.75
Honeycomb Paperboard,6,7,7,69,3.83,1.01
Honeycomb Paperboard,7,18,9,77,3.83,0.62
Biodegradable Plastic,5,19,8,74,2.89,0.57
Recycled Cardboard,8,3,7,92,4.5,0.6
Corrugated Board,9,10,6,64,2.5,0.64
Bamboo Fiber Packaging,9,5,5,96,2.16,0.88
Kraft Paper,7,7,8,99,2.57,0.78
Bamboo Fiber Packaging,7,10,9,81,2.8,0.67
Recycled Cardboard,6,3,7,81,2.85,0.7
Biodegradable Plastic,6,17,9,81,4.01,0.7
Mycelium Packaging,9,9,6,74,2.65,1.18
Mycelium Packaging,7,18,9,76,4.03,0.59
Paper Foam,5,18,5,87,2.27,1.05
Bamboo Fiber Packaging,8,17,7,81,2.44,0.97
Recycled Cardboard,7,8,7,80,3.53,0.4
Recycled Cardboard,7,11,5,76,4.77,1.19
Cornstarch Packaging,6,9,9,64,4.58,1.01
Molded Pulp,8,16,5,77,4.91,0.95
Seaweed Packaging,9,13,8,76,3.95,0.72
Recycled PET,7,18,5,63,4.03,0.84
Cornstarch Packaging,9,8,9,66,3.88,0.6
Bagasse Fiber,7,18,5,84,3.87,0.43
Honeycomb Paperboard,9,18,6,96,2.44,1.07
Honeycomb Paperboard,8,14,5,99,3.63,1.12
Molded Pulp,6,19,5,99,3.16,0.53
Recycled Paper Wrap,8,7,9,68,3.33,1.03
Recycled Paper Wrap,5,15,8,78,3.57,0.99
Biodegradable Plastic,6,10,8,68,2.39,0.54
PLA Bioplastic,8,7,9,82,3.08,0.74
Molded Pulp,5,14,9,90,2.19,0.74
Seaweed Packaging,7,11,9,91,4.94,1.01
Recycled Cardboard,7,5,6,90,2.36,1.07
Recycled Paper Wrap,9,5,7,76,2.78,0.48
Seaweed Packaging,6,3,5,98,4.67,0.85
Corrugated Board,7,14,9,81,3.45,1.01
Bamboo Fiber Packaging,6,11,9,94,2.41,1.03
Bamboo Fiber Packaging,7,11,9,89,3.15,0.52
PLA Bioplastic,9,9,8,99,2.35,0.82
Kraft Paper,8,6,9,96,2.6,1.09
Recycled Cardboard,9,15,5,85,2.16,0.65
Recycled PET,5,19,9,65,3.31,0.74
Recycled PET,7,4,5,93,4.42,1.04
Bagasse Fiber,5,16,6,91,3.76,0.47
Recycled PET,5,5,7,84,3.82,1.09
Corrugated Board,6,7,8,72,2.6,0.65
Corrugated Board,7,16,5,97,3.03,0.4
Bamboo Fiber Packaging,5,5,6,97,4.54,0.59
Molded Pulp,8,9,7,61,2.26,0.47
PLA Bioplastic,5,15,7,64,4.57,0.47
Biodegradable Plastic,8,12,7,70,3.45,0.95
Bagasse Fiber,6,15,5,70,4.51,0.57
Recycled Paper Wrap,5,18,6,83,2.95,1.15
Seaweed Packaging,9,11,9,73,3.02,0.81
Molded Pulp,6,4,6,89,4.25,0.77
Recycled Paper Wrap,8,7,6,99,4.35,0.75
Molded Pulp,6,19,6,94,2.69,0.95
Molded Pulp,5,6,5,80,4.92,0.76
Molded Pulp,7,19,5,64,2.25,0.5
Bamboo Fiber Packaging,7,11,5,97,2.21,1.1
Recycled PET,8,4,6,61,3.79,0.74
PLA Bioplastic,8,13,5,99,4.17,0.46
Biodegradable Plastic,7,15,7,96,4.88,0.82
Recycled PET,8,10,5,93,3.21,0.92
Molded Pulp,6,3,8,70,2.08,0.62
Paper Foam,9,19,5,95,3.81,1.04
Kraft Paper,9,14,5,70,2.87,0.94
Recycled Paper Wrap,6,6,5,68,3.3,0.92
Recycled Cardboard,9,15,5,65,3.47,0.74
Cornstarch Packaging,5,11,8,93,2.19,1.17
Recycled PET,6,9,9,96,3.46,0.62
Seaweed Packaging,8,7,5,91,3.28,0.86
Bamboo Fiber Packaging,6,7,7,71,4.14,0.65
Bagasse Fiber,7,19,8,91,3.94,1
Honeycomb Paperboard,8,11,9,76,2.56,0.44
Biodegradable Plastic,7,8,5,63,2.62,0.44
Recycled Cardboard,8,18,9,92,2.75,1.05
Corrugated Board,9,4,7,68,2.54,0.75
Mycelium Packaging,6,12,8,93,3.97,0.67
Paper Foam,5,18,8,98,4.98,0.89
Honeycomb Paperboard,8,7,9,89,3.96,0.96
Cornstarch Packaging,8,17,5,79,3.82,0.56
Recycled Cardboard,7,15,6,98,3.23,0.55
